id,latitude,longitude,reason
4786,22.903382,108.071199,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
4787,22.57031,108.242543,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
4788,25.2549,110.292144,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
4819,-43.342385,171.54587,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
4865,49.49781,-2.551199,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
4866,49.439557,-2.532156,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
4882,40.747257,-86.577759,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
4919,35.293665,25.747222,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5009,-35.728712,174.554086,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5010,-35.83535,174.607344,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5012,-35.84703,174.533604,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5013,-35.826504,174.49659,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5048,8.727648,78.288574,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5122,-35.8025,174.497437,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5124,-35.785408,174.561167,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5125,-35.645091,174.55061,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5126,-35.85664,174.587173,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5127,-35.827696,174.524903,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5138,35.605,-95.0,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5227,7.991439,-81.982588,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5238,12.167953,109.308794,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5243,12.548437,109.391513,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5244,12.178283,109.265084,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5253,47.846251,13.790309,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5256,48.236008,14.387219,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5269,36.038975,114.110613,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5279,51.814956,3.821397,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5400,13.495,-89.8,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5525,52.965268,1.048186,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5526,17.747501,-88.025122,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5539,6.300028,-77.462797,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5553,-22.768426,-41.791177,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5581,7.013668,79.628906,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5582,7.193551,79.799194,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5583,-5.4984,-39.3206,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5584,-3.078,-38.4,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5585,-4.082597,-37.554703,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5606,7.024572,79.749756,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5699,-35.504771,150.395451,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5789,46.619556,14.168844,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
