id,title,latitude,longitude,coordinate_source
1,Big Brother,-17.644022027872712,100.1953125,PADI_MAP_API
8,Christ of the Abyss,44.313516033402465,9.175161123275757,PADI_MAP_API
9,Mohawk Deer,44.30824952455147,9.191393852233885,PADI_MAP_API
11,Secca Isuela,44.32126907118045,9.143028259277344,PADI_MAP_API
12,Punta Manara,44.248642114058605,9.403610229492188,PADI_MAP_API
14,Brixham Breakwater Beach,50.399928741294595,-3.5040593147277828,PADI_MAP_API
15,Kleiner Parkplatz,47.294141001680906,8.598137497901917,PADI_MAP_API
20,Zollbruecke,47.64706405496327,8.603142499923706,PADI_MAP_API
21,Zigeunerplatz,47.117723135754574,8.497382998466492,PADI_MAP_API
22,Wassersport Zentrum Tiefenbrunnen,47.34604546200589,8.56357991695404,PADI_MAP_API
23,Schoggiwand,47.31969412903459,8.55282425880432,PADI_MAP_API
24,Steilwand Wallhausen,47.74868062565801,9.13338840007782,PADI_MAP_API
26,"Halbinsel Au, Vordere Au",47.24900640108341,8.651561737060547,PADI_MAP_API
27,Grosser Parkplatz,47.29162685237502,8.600481748580933,PADI_MAP_API
28,Riff Williams,47.28492065689085,8.608367443084717,PADI_MAP_API
29,Terlinden,47.328962949730396,8.57282817363739,PADI_MAP_API
30,Pumpenhaus Rüschlikon,47.30283226987181,8.561165928840637,PADI_MAP_API
31,Ermitage,47.32162511594154,8.577371835708618,PADI_MAP_API
32,"Eichwald Wrack Bruno, Brunnen",46.9977180910866,8.569738268852234,PADI_MAP_API
34,Lopper Acheregg,46.97928247920605,8.33112895488739,PADI_MAP_API
36,Ledi Wracks,47.115532817329665,9.292588233947754,PADI_MAP_API
37,Weesen Tunnel 1,47.13930025253085,9.119558930397034,PADI_MAP_API
38,Tiefenwinkel Murg,47.11548170882337,9.184098243713379,PADI_MAP_API
41,Rheinau - Ellikon,47.63806445788038,8.596957325935364,PADI_MAP_API
42,Halbinsel Au,47.25046659810204,8.648369908332825,PADI_MAP_API
43,Pflegheim am See,47.308706888808025,8.584039807319641,PADI_MAP_API
44,Pozzo del Posse 1,46.25274215560238,8.842851519584656,PADI_MAP_API
45,Zollerbucht,47.301373517179684,8.591356873512268,PADI_MAP_API
46,Bocciaplatz,47.293326008341765,8.598872423171997,PADI_MAP_API
47,Matterhorn,47.287970025359755,8.605454564094543,PADI_MAP_API
49,Riedsort,47.02351653418371,8.456720709800718,PADI_MAP_API
50,Brougierpark Vitznau,47.019632750557136,8.47072720527649,PADI_MAP_API
51,Rheinfall - Dachsen,47.67718515553508,8.610674142837524,PADI_MAP_API
52,Strick,47.07233227860543,8.49869191646576,PADI_MAP_API
53,Chlausenegg,47.08643318702843,8.522971272468567,PADI_MAP_API
54,Rossblatten,47.09398623176041,8.519334197044373,PADI_MAP_API
56,Hafen,47.65182345594918,8.883358240127563,PADI_MAP_API
57,Kloster,47.64281022177158,8.60527753829956,PADI_MAP_API
58,Ellikon - Rüdlingen,47.60562775269376,8.596758842468262,PADI_MAP_API
59,Rüdlingen - Tössegg,47.577242243633314,8.579152822494507,PADI_MAP_API
60,Tössegg - Eglisau,47.55208545226485,8.55458378791809,PADI_MAP_API
61,Neue Rheinbrücke,47.669285332095846,9.163160920143127,PADI_MAP_API
62,Strahlegg,47.13598687998592,9.144546389579773,PADI_MAP_API
63,Broder,47.11429524755914,9.271742105484009,PADI_MAP_API
64,Hafen Murg,47.11832180710109,9.172135591506958,PADI_MAP_API
65,Lothenbach,47.1155255161175,8.499754071235657,PADI_MAP_API
66,Grafstatt,47.10932277447803,8.502988815307617,PADI_MAP_API
67,Fischchratte,47.078937521052026,8.48689019680023,PADI_MAP_API
69,Gola di Ponte Brolla,46.18633006251151,8.755985498428345,PADI_MAP_API
70,Gola del Lupo,46.34497238930234,8.611752390861511,PADI_MAP_API
71,Blausee,46.53257250437643,7.665125727653503,PADI_MAP_API
77,Blue Buoy,-16.242302792385647,145.86221158504486,PADI_MAP_API
78,Chebeh Island,2.9330976376298064,104.09829139709471,PADI_MAP_API
79,Balky Point,37.63032624785593,-0.701225996017456,PADI_MAP_API
82,Lake Geneva,46.37251678434439,6.3226318359375,PADI_MAP_API
86,Pecio Cordero Gonzalez,42.37997756917532,-8.920040130615234,PADI_MAP_API
87,Mar Menuda,41.72213859292662,2.939497232437134,PADI_MAP_API
88,Pecio Afroditi-P,42.41078355118542,-8.870429992675781,PADI_MAP_API
